,0
ACK Flag Count,0.09209602717664382
URG Flag Count,0.07085956863203857
Bwd Packet Length Mean,0.060855392958481094
Destination Port,0.059178274103405745
Bwd Packet Length Std,0.05839741109499975
Bwd Packet Length Max,0.051315175367017074
Down/Up Ratio,0.04841000976530142
Packet Length Mean,0.03725547077198703
Average Packet Size,0.03698480714888444
Avg Bwd Segment Size,0.03448556277541318
Packet Length Std,0.031495320402523216
Avg Fwd Segment Size,0.025540777042978285
Bwd IAT Total,0.024643631360488468
PSH Flag Count,0.02122432622522322
Fwd IAT Std,0.02102825668854253
Max Packet Length,0.02015262522392961
min_seg_size_forward,0.01710665595857501
Fwd Packet Length Max,0.015102485854350624
Fwd IAT Max,0.014498762467784594
Packet Length Variance,0.013543950246274574
Min Packet Length,0.012958961701986358
Bwd IAT Max,0.012890685042994789
Fwd Header Length.1,0.012463152976332001
Subflow Fwd Packets,0.011933218551297314
act_data_pkt_fwd,0.01183106773006641
Flow IAT Std,0.010994495575718261
Fwd Packet Length Std,0.010943227061953477
Fwd Packet Length Mean,0.010524716955511139
Fwd Header Length,0.010355610322175935
Init_Win_bytes_forward,0.01024655472873564
Flow IAT Mean,0.008645596245148685
Flow IAT Max,0.008309702596936898
Fwd IAT Total,0.0079101156292524
SYN Flag Count,0.007894249134188024
Subflow Fwd Bytes,0.007819438121339442
Total Fwd Packets,0.007378525463619394
Fwd PSH Flags,0.007009972779847199
Idle Mean,0.006632054537537144
Idle Min,0.006477377431531994
Bwd Packet Length Min,0.006364057498560369
Total Backward Packets,0.005890187351084305
Flow Duration,0.005816797248265431
Total Length of Fwd Packets,0.005794241495801494
Bwd IAT Std,0.005401592517258992
Subflow Bwd Packets,0.005256160221773872
Fwd Packet Length Min,0.0038566067155134205
Subflow Bwd Bytes,0.003547367864346307
Fwd IAT Mean,0.0034878122124372296
Bwd IAT Mean,0.0029645744875813444
Idle Max,0.002292937535988615
Bwd Header Length,0.0021250497177743915
Init_Win_bytes_backward,0.0020370354583965494
Fwd Packets/s,0.0017423660450954332
Total Length of Bwd Packets,0.001144176035933066
Flow Packets/s,0.0011207638579413418
Idle Std,0.0008737553036401785
Bwd Packets/s,0.0008452806174765173
Bwd IAT Min,0.0004840580743843497
FIN Flag Count,0.0004104268263493099
Fwd IAT Min,0.00039485680744657766
Flow IAT Min,0.00028231760199969773
Flow Bytes/s,0.00019570623097641941
Active Mean,0.00013280750339850333
Active Max,5.1057263214411546e-05
Active Std,4.8746000419070585e-05
Active Min,4.48777349301956e-05
ECE Flag Count,1.1699209978082294e-06
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
RST Flag Count,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
CWE Flag Count,0.0
Fwd Avg Bulk Rate,0.0
